Pop	Type	Sex	Spec	SL
BP	Lake	F	38	39.935
BP	Lake	F	39	43.41
BP	Lake	F	40	41.575
BP	Lake	F	41	41.86
BP	Lake	F	42	40.125
BP	Lake	F	43	40.145
BP	Lake	F	44	41.76
BP	Lake	F	45	42.29
BP	Lake	F	46	41.66
BP	Lake	F	47	40.39
BP	Lake	F	48	39.91
BP	Lake	F	49	38.53
BP	Lake	F	50	36.96
LMC	Stream	M	1	47.07
LMC	Stream	M	2	46.775
LMC	Stream	M	3	48.2
LMC	Stream	M	4	42.615
LMC	Stream	M	5	41.81
LMC	Stream	M	6	39.2
LMC	Stream	M	7	45.355
LMC	Stream	M	8	42.52
LMC	Stream	M	9	40.36
LMC	Stream	M	10	48.615
LMC	Stream	M	11	47.365
LMC	Stream	M	12	42.065
LMC	Stream	M	13	41.57
LMC	Stream	M	14	43.65
LMC	Stream	M	15	39.995
LMC	Stream	M	16	38.155
LMC	Stream	M	17	38.88
LMC	Stream	M	18	40.755
LMC	Stream	M	19	40.645
LMC	Stream	M	20	39.89
LMC	Stream	M	21	42.3
LMC	Stream	M	22	41.045
LMC	Stream	M	23	38.935
LMC	Stream	M	24	42.58
LMC	Stream	M	25	43.3
LMC	Stream	M	26	42.45
LMC	Stream	M	27	43.09
LMC	Stream	M	28	42.99
LMC	Stream	M	29	47.475
LMC	Stream	M	30	41.265
LMC	Stream	M	31	43.2
LMC	Stream	M	32	42.135
LMC	Stream	M	33	50.07
LMC	Stream	M	34	44.565
LMC	Stream	M	35	41.515
LMC	Stream	M	36	39.19
LMC	Stream	M	37	39.715
LMC	Stream	M	38	49.275
LMC	Stream	M	39	44.475
LMC	Stream	M	40	46.755
LMC	Stream	M	41	42.96
LMC	Stream	M	42	40.645
LMC	Stream	M	43	45.19
LMC	Stream	M	44	43.955
LMC	Stream	M	45	43.445
LMC	Stream	M	46	44.625
LMC	Stream	M	47	40.11
LMC	Stream	M	48	42.13
LMC	Stream	M	49	40.435
LMC	Stream	M	50	40.97
LMC	Stream	F	1	56.26
LMC	Stream	F	2	46.04
LMC	Stream	F	3	46.87
LMC	Stream	F	4	45.62
LMC	Stream	F	5	45.43
LMC	Stream	F	6	41.975
LMC	Stream	F	7	47.105
LMC	Stream	F	8	54.03
LMC	Stream	F	9	50.58
LMC	Stream	F	10	38.05
LMC	Stream	F	11	52.495
LMC	Stream	F	12	44.215
LMC	Stream	F	13	49.815
LMC	Stream	F	14	44.315
LMC	Stream	F	15	51.04
LMC	Stream	F	16	45.425
LMC	Stream	F	17	46.81
LMC	Stream	F	18	47.42
LMC	Stream	F	19	40.32
LMC	Stream	F	20	41.48
LMC	Stream	F	21	52.58
LMC	Stream	F	22	45.68
LMC	Stream	F	23	47.73
LMC	Stream	F	24	55.105
LMC	Stream	F	25	43.435
LMC	Stream	F	26	46.375
LMC	Stream	F	27	45.7
LMC	Stream	F	28	40.87
LMC	Stream	F	29	42.76
LMC	Stream	F	30	43.595
LMC	Stream	F	31	43.58
LMC	Stream	F	32	44.465
LMC	Stream	F	33	46.815
LMC	Stream	F	34	43.315
LMC	Stream	F	35	40.68
LMC	Stream	F	36	46.665
LMC	Stream	F	37	45.86
LMC	Stream	F	38	34.545
LMC	Stream	F	39	41.465
LMC	Stream	F	40	55.775
LMC	Stream	F	41	42.18
LMC	Stream	F	42	41.89
LMC	Stream	F	43	39.905
LMC	Stream	F	44	43.07
LMC	Stream	F	45	41.28
LMC	Stream	F	46	46.245
LMC	Stream	F	47	46.495
LMC	Stream	F	48	55.525
LMC	Stream	F	49	39.7
LMC	Stream	F	50	35.8
RS	Anadromous	M	1	66.32
RS	Anadromous	M	2	58.905
RS	Anadromous	M	3	65.98
RS	Anadromous	M	4	62.645
RS	Anadromous	M	5	59.3
RS	Anadromous	M	6	61.205
RS	Anadromous	M	7	66.46
RS	Anadromous	M	8	62.52
RS	Anadromous	M	9	65.495
RS	Anadromous	M	10	64.13
RS	Anadromous	M	11	61.695
RS	Anadromous	M	12	63.565
RS	Anadromous	M	13	58.57
RS	Anadromous	M	14	65.78
RS	Anadromous	M	15	62.12
RS	Anadromous	M	16	61.49
RS	Anadromous	M	17	63.9
RS	Anadromous	M	18	63.225
RS	Anadromous	M	19	60.86
RS	Anadromous	M	20	65.375
RS	Anadromous	M	21	61.98
RS	Anadromous	M	22	64.025
RS	Anadromous	M	23	63.73
RS	Anadromous	M	24	61.02
RS	Anadromous	M	25	61.05
RS	Anadromous	M	26	66.34
RS	Anadromous	M	27	64.21
RS	Anadromous	M	28	62.08
RS	Anadromous	M	29	62.09
RS	Anadromous	M	30	67.045
RS	Anadromous	M	31	62.735
RS	Anadromous	M	32	64.01
RS	Anadromous	M	33	63.885
RS	Anadromous	M	34	63.905
RS	Anadromous	M	35	64.155
RS	Anadromous	M	36	63.795
RS	Anadromous	M	37	64.26
RS	Anadromous	M	38	62.425
RS	Anadromous	M	39	61.11
RS	Anadromous	M	40	65.35
RS	Anadromous	M	41	64.035
RS	Anadromous	M	42	63.16
RS	Anadromous	M	43	61.76
RS	Anadromous	M	44	65.735
RS	Anadromous	M	45	61.835
RS	Anadromous	M	46	63.49
RS	Anadromous	M	47	66.375
RS	Anadromous	M	48	62.285
RS	Anadromous	M	49	62.27
RS	Anadromous	M	50	58.53
RS	Anadromous	F	1	70.405
RS	Anadromous	F	2	65.745
RS	Anadromous	F	3	69.895
RS	Anadromous	F	4	64.76
RS	Anadromous	F	5	64.38
RS	Anadromous	F	6	63.1
RS	Anadromous	F	7	70.535
RS	Anadromous	F	8	65.325
RS	Anadromous	F	9	65.735
RS	Anadromous	F	10	70.21
RS	Anadromous	F	11	69.905
RS	Anadromous	F	12	64.265
RS	Anadromous	F	13	65.965
RS	Anadromous	F	14	67.42
RS	Anadromous	F	15	70.195
RS	Anadromous	F	16	69.575
RS	Anadromous	F	17	69.445
RS	Anadromous	F	18	66.64
RS	Anadromous	F	19	73.06
RS	Anadromous	F	20	69.225
RS	Anadromous	F	21	68.64
RS	Anadromous	F	22	69.65
RS	Anadromous	F	23	63.21
RS	Anadromous	F	24	64.33
RS	Anadromous	F	25	68.26
RS	Anadromous	F	26	62.68
RS	Anadromous	F	27	69.25
RS	Anadromous	F	28	66.445
RS	Anadromous	F	29	67.47
RS	Anadromous	F	30	66.94
RS	Anadromous	F	31	62.83
RS	Anadromous	F	32	68.055
RS	Anadromous	F	33	66.195
RS	Anadromous	F	34	67.48
RS	Anadromous	F	35	63.055
RS	Anadromous	F	36	67.475
RS	Anadromous	F	37	66.915
RS	Anadromous	F	38	65.89
RS	Anadromous	F	39	68.16
RS	Anadromous	F	40	69.495
RS	Anadromous	F	41	66.165
RS	Anadromous	F	42	64.69
RS	Anadromous	F	43	68.095
RS	Anadromous	F	44	70.595
RS	Anadromous	F	45	62.62
RS	Anadromous	F	46	72.195
RS	Anadromous	F	47	64.13
RS	Anadromous	F	48	63.295
RS	Anadromous	F	49	70.035
RS	Anadromous	F	50	69.345
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
